Question,Response
"Quelle est la valeur retournée par la fonction identité QUOTE ?
A. La valeur de l'argument sans être évaluée
B. La valeur de l'argument évaluée
C. La valeur de vérité VRAI
D. La valeur de vérité FAUX
","A. La valeur de l'argument sans être évaluéeRéponse : A. La valeur de l'argument sans être évaluée
"
"Quelle est la technique d'exploration systématique la plus efficace pour trouver une solution dans un graphe orienté implicite ?
A. Recherche en profondeur
B. Recherche en largeur
C. Recherche aléatoire
D. Recherche par dichotomie

","A. Recherche en profondeurRéponse : A. Recherche en profondeur

"
"Quelle est la complexité de l'algorithme du tri par sélection?
A. O(n)
B. O(n2)
C. O(n3)
D. O(log n)

","B. O(n2)Réponse : B. O(n2)

"
"Quel type de problème de décision peut être résolu en temps polynomial par des algorithmes déterministes ?
A. Les problèmes de décision non déterministes
B. Les problèmes de décision déterministes
C. Les problèmes généraux
D. Les problèmes de décision non polynomiaux

","B. Les problèmes de décision déterministesRéponse : B. Les problèmes de décision déterministes

"
"Quelle est la classe des problèmes de décision pouvant être résolus en temps polynomial ?
A. Classe P
B. Classe NP
C. Classe NP-Complete
D. Classe NP-Hard

","A. Classe PRéponse : A. Classe P

"
"Quelle est la principale caractéristique de la programmation logique?
A. Utilisation de symboles de constantes, de fonctions et de prédicats
B. Utilisation de règles d'inférence
C. Utilisation de l'inférence logique
D. Utilisation de formules bien formées

","C. Utilisation de l'inférence logique, avec des règles d'inférence telles que la règle de résolution et la règle de diminution.Réponse : C. Utilisation de l'inférence logique, avec des règles d'inférence telles que la règle de résolution et la règle de diminution.

"
"Quel type de machine de Turing est décrit dans le contexte ?
A. Une machine de Turing déterministe
B. Une machine de Turing non déterministe
C. Une machine de Turing à états finis
D. Une machine de Turing à états infinis

","B. Une machine de Turing non déterministeRéponse : B. Une machine de Turing non déterministe
"
"Quel type de problème de décision peut être résolu en temps polynomial par des algorithmes déterministes ?
A. Classe P
B. Classe NP
C. Classe NP-Complet
D. Classe P-Complet

","A. Classe PRéponse : A. Classe P

"
"Quelle est la complexité de l'algorithme de multiplication de grands entiers par la méthode habituelle ?
A. O(n)
B. O(n log n)
C. O(n2)
D. O(n1.59)

","D. O(n1.59)Réponse : D. O(n1.59)

"
"Quelle est la définition d'un système formel ?
A. Un ensemble fini de prédicats décidables
B. Un alphabet fini ou infini dénombrable
C. Un sous-ensemble récursif de l'ensemble de toutes les suites finies de l'alphabet
D. Un sous-ensemble récursif de l'ensemble des formules bien formées

","B. Un alphabet fini ou infini dénombrableRéponse : B. Un alphabet fini ou infini dénombrable

"
"Quelle est la classe des problèmes de décision pouvant être résolus en temps polynomial ?
A. Classe P
B. Classe NP
C. Classe NP-Complete
D. Classe NP-Hard

","A. Classe P. Tout problème de décision pour lequel il existe un algorithme de résolution général ayant une complexité polynomiale, est classé dans P.Réponse : A. Classe P. Tout problème de décision pour lequel il existe un algorithme de résolution général ayant une complexité polynomiale, est classé dans P.
"
"Quelle est la preuve nécessaire pour démontrer que x = Sup ( f ( ) ) est une solution de x = f(x) ?
A. Preuve totale
B. Preuve partielle
C. Preuve par récurrence

","A. Preuve totaleRéponse : A. Preuve totale

"
"Quelle est la principale différence entre le λ-calcul et le Lisp ?
A. Le λ-calcul est une fonction d'ordre supérieur alors que le Lisp est une fonction récursive
B. Le λ-calcul est une fonction récursive alors que le Lisp est une fonction d'ordre supérieur
C. Le λ-calcul est une fonction impérative alors que le Lisp est une fonction fonctionnelle
D. Le λ-calcul est une fonction fonctionnelle alors que le Lisp est une fonction impérative

","D. Le λ-calcul est une fonction fonctionnelle alors que le Lisp est une fonction impérativeRéponse : D. Le λ-calcul est une fonction fonctionnelle alors que le Lisp est une fonction impérative

"
"Quelle est la représentation d'une liste vide en Prolog ?
A. [ ]
B. [X]
C. [X|Y]
D. [X,Y,Z]

","A. [ ]Réponse : A. [ ]
[X|Y] ne peut pas s'unifier avec le terme [ ] et [X,Y|Z] ne peut pas s'unifier avec le terme [ ].

"
"Est-ce que le problème P1 est strictement réductible à P2 ?
A. Oui
B. Non
C. Peut-être
D. Aucune des réponses ci-dessus

","B. NonRéponse : B. Non

"
"Quelle est la classe des problèmes de décision pouvant être résolus en temps polynomial ?
A. Classe P
B. Classe NP
C. Classe NP-Complete
D. Classe NP-Hard

","A. Classe P. Les problèmes de cette classe peuvent être résolus en temps polynomial par des algorithmes déterministes (machines de Turing déterministes).Réponse : A. Classe P. Les problèmes de cette classe peuvent être résolus en temps polynomial par des algorithmes déterministes (machines de Turing déterministes).

"
